Month,Year,Total Generation (Dependent Variable),Hydro,Solar,Wind,Thermal Generation,Average Temp,Average Wind Speed (Knot),Sunshine Duration (hrs)
Jan ,2010,2644,97,0,248,2166,2.4,7,86.6
Feb,2010,2354,60,0,151,2044,3.3,6.5,85
Mar,2010,2450,29,0,251,2109,6.4,7.9,156.1
Apr,2010,2144,74,0,186,1851,9.8,7.8,230.8
May,2010,2113,13,0,169,1829,11.7,7.6,196.9
Jun,2010,2008,3,0,155,1816,15.8,7.7,214.7
Jul,2010,2045,18,0,268,1777,16,9.1,99.5
Aug,2010,2023,14,0,207,1764,15,8.1,191.4
Sep,2010,2070,51,0,289,1788,14.5,9,119.9
Oct,2010,2201,41,0,322,1851,10.8,7.9,115.7
Nov,2010,2399,101,0,341,1980,5.7,9.1,75.9
Dec,2010,2653,51,0,219,2300,0.7,5.1,55
Jan ,2011,2546,91,0,275,2125,3.6,6,58.2
Feb,2011,2214,96,0,355,1714,7.4,9.1,76.3
Mar,2011,2331,50,0,206,1991,7,6.4,161.9
Apr,2011,2050,29,0,246,1647,12,7.4,181.7
May,2011,2096,29,0,542,1433,11.8,13.1,153.5
Jun,2011,1983,27,0,242,1613,12.8,8.9,190.8
Jul,2011,1992,18,0,185,1725,14.7,7.6,104.6
Aug,2011,2028,15,0,190,1784,14.1,7.4,127.5
Sep,2011,2009,38,0,483,1485,14.2,12.2,73.5
Oct,2011,2187,70,0,451,1694,12.2,10.4,54.9
Nov,2011,2260,101,0,546,1655,10.4,10.7,78.7
Dec,2011,2433,116,0,649,1722,7.1,11.7,25.5
Jan ,2012,2383,100,0,537,1859,8,11.5,29.9
Feb,2012,2222,80,0,373,1798,8,8.2,43.2
Mar,2012,2225,37,0,309,1798,9.5,8,114.5
Apr,2012,2087,15,0,362,1655,7.8,9.8,185.8
May,2012,2099,22,0,258,1769,12,8.5,180.5
Jun,2012,1955,73,0,240,1577,13.6,8.7,100.3
Jul,2012,1997,74,0,221,1647,14.9,8.1,113.3
Aug,2012,2008,63,0,293,1577,16.3,9.5,163.6
Sep,2012,2001,41,0,310,1567,13.1,8.6,119.9
Oct,2012,2212,75,0,272,1832,9.5,8,93.9
Nov,2012,2291,87,0,361,1848,6.9,8.3,72.3
Dec,2012,2375,94,0,463,1754,6.7,9.8,44.4
Jan ,2013,2444,118,0,449,1738,6.3,9.8,35.5
Feb,2013,2213,97,0,398,1600,5.6,9.6,70.4
Mar,2013,2408,48,0,432,1912,4.7,10.1,102.1
Apr,2013,2174,44,0,446,1620,8.2,11.6,188.7
May,2013,2122,41,0,434,1307,10.8,10.7,179
Jun,2013,1937,19,0,247,1435,14.1,8.7,159.3
Jul,2013,2053,4,0,140,1655,18.5,6.5,213.8
Aug,2013,2028,14,0,261,1485,16.1,8.6,105.7
Sep,2013,2027,10,0,312,1537,14.6,8.8,93.8
Oct,2013,2250,51,0,418,1540,12.8,8.9,113.2
Nov,2013,2270,52,0,336,1651,7.5,7.1,51.3
Dec,2013,2390,75,0,657,1491,7.6,12,38
Jan ,2014,2457,110,0,579,1494,6,10.8,53.4
Feb,2014,2232,100,0,619,1273,6.1,13.1,61.9
Mar,2014,2357,89,0,483,1579,7.7,9,116.4
