"STATISTIC","Statistic Label","C02405V02899","Energy Supply and Consumption","TLIST(A1)","Year","UNIT","VALUE"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1990","1990","ktoe","10131"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1991","1991","ktoe","10341"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1992","1992","ktoe","10334"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1993","1993","ktoe","10511"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1994","1994","ktoe","10997"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1995","1995","ktoe","11105"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1996","1996","ktoe","11761"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1997","1997","ktoe","12391"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1998","1998","ktoe","13187"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","1999","1999","ktoe","13922"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2000","2000","ktoe","14470"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2001","2001","ktoe","15152"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2002","2002","ktoe","15263"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2003","2003","ktoe","14869"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2004","2004","ktoe","15389"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2005","2005","ktoe","16318"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2006","2006","ktoe","16251"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2007","2007","ktoe","16292"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2008","2008","ktoe","16637"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2009","2009","ktoe","15060"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2010","2010","ktoe","15059"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2011","2011","ktoe","14059"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2012","2012","ktoe","13722"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2013","2013","ktoe","13620"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2014","2014","ktoe","13451"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2015","2015","ktoe","14126"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2016","2016","ktoe","14787"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2017","2017","ktoe","14652"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2018","2018","ktoe","14964"
"SEI05","Gross Energy Consumption","006","Primary energy supply including non energy","2019","2019","ktoe","14854"
